u,v,probability,u_career_length,v_career_length
מאור_שוויצר,רועי_ניק,0.5446013081088477,1,1
יורם_חטב,שמיל_בן_ארי,0.7740197516635332,6,19
גילה_אלמגור,מיכאל_אלוני,0.9286866659383864,52,5
שלומי_קוריאט,שמיל_בן_ארי,0.825120417528391,5,19
יהורם_גאון,שלומי_קוריאט,0.6604278302171608,48,5
אורי_הוכמן,משה_איבגי,0.9211860796981683,1,32
עודד_לאופולד,עלי_סלימאן,0.5204142283206229,1,1
אוולין_הגואל,חיים_זנאתי,0.554241182826573,4,3
אושרי_כהן,שלומי_קוריאט,0.7068065812160552,14,5
יורם_חטב,לירון_בן-שלוש,0.5040184516485994,6,6
דביר_בנדק,רועי_אסף,0.8541278555925664,15,7
משה_איבגי,נטלי_עטיה,0.8200846747757812,32,18
דב_נבון,יעל_אבקסיס,0.9553311304602734,27,23
טלי_שרון,יאנה_יוסף,0.5282730906560072,9,1
אנה_דוברוביצקי,שמיל_בן_ארי,0.7923519279197317,1,19
גיל_פרנק,מיה_דגן,0.6126610404699754,20,5
יובל_שרף,יערה_פלציג,0.5675574688453019,3,1
יעל_אבקסיס,שרון_אלכסנדר,0.9503311294999772,23,32
אנה_דוברוביצקי,לירון_בן-שלוש,0.5577888069179906,1,6
מוריס_כהן_(שחקן),רותם_זיסמן-כהן,0.5740231253308355,1,4
אנה_דוברוביצקי,יורם_חטב,0.663482630053752,1,6
חנן_סביון,יגאל_נאור,0.5480033102565801,1,18
אורי_הוכמן,צחי_גראד,0.7050273332880597,1,10
ליא_קניג,קרן_מור,0.7319821415154533,45,25
אורי_הוכמן,יעל_אבקסיס,0.7465024115294221,1,23
משה_איבגי,נורמן_עיסא,0.8524608123904898,32,1
אביגיל_אריאלי,אורי_פפר,0.5707578470016313,21,2
אניה_בוקשטיין,יפתח_קליין,0.7605339217444904,17,6
לירון_בן-שלוש,שרון_אלכסנדר,0.7182903060089303,6,32
מאור_שוויצר,משה_פולקנפליק,0.5201690651876016,1,1
שירה_האס,שרה_אדלר,0.6161472637909213,1,9
יובל_סגל_(1971),ששון_גבאי,0.9355983747115066,12,26
מיה_דגן,ששון_גבאי,0.8945608350814851,5,26
אמיר_טסלר,אריה_צ'רנר,0.5124871490926002,1,1
אניה_בוקשטיין,קרן_מור,0.8557108859037102,17,25
דביר_בנדק,דודו_טסה,0.703203052821235,15,1
אושרי_כהן,רותם_זיסמן-כהן,0.798986048459627,14,4
אלון_אבוטבול,עלי_סלימאן,0.8973308797080252,32,1
גל_זייד,יובל_סגל_(1971),0.6777986234265114,6,12
לירון_לבו,נטלי_עטיה,0.6027400099302131,16,18
יגאל_נאור,עדנה_בליליוס,0.7015763756056614,18,1
גיל_פרנק,דרור_קרן,0.7548064765462869,20,18
יפתח_קליין,קרן_מור,0.930341410182056,6,25
גדי_יגיל,שלמה_בראבא,0.6612017454759366,43,38
טלי_שרון,שמיל_בן_ארי,0.8125370672277056,9,19
אריה_צ'רנר,יובל_סגל_(1971),0.6628548759387355,1,12
יעל_אבקסיס,נטלי_עטיה,0.6718364329459949,23,18
קרן_ברגר,רועי_אסף,0.7234695633754049,2,7
אורי_פפר,נתי_קלוגר,0.6634449726201181,2,1
מיה_דגן,נתן_רביץ,0.6354979037973628,5,1
חיים_אוסדון,שלומי_קוריאט,0.553766593441507,1,5
דאנה_איבגי,יעל_אבקסיס,0.9921015597707427,12,23
יובל_סגל_(1971),מיה_דגן,0.7236698971264709,12,5
מוחמד_בכרי,פלורנס_בלוך,0.7075045912231485,23,9
אניה_בוקשטיין,ליא_קניג,0.6159857427583839,17,45
גילה_אלמגור,הילה_פלדמן,0.7567963600808234,52,1
אלון_דהן_(שחקן),רותם_זיסמן-כהן,0.5216364214268976,1,4
גילה_אלמגור,ישי_גולן,0.7062978022027627,52,1
ליאור_אשכנזי,שירה_האס,0.7209373712333342,15,1
שמיל_בן_ארי,שרון_אלכסנדר,0.9070979488527082,19,32
נטלי_עטיה,שרון_אלכסנדר,0.670119413361327,18,32
אמיר_טסלר,ריקי_בליך,0.5768319433478714,1,12
מיטל_גל_סויסה,מלי_לוי,0.5632272780830748,2,10
יפתח_קליין,ליא_קניג,0.6107712684634472,6,45
אוולין_הגואל,מיטל_גל_סויסה,0.6241015634798016,4,2
לירון_בן-שלוש,שמיל_בן_ארי,0.7267942796692484,6,19
יהורם_גאון,תומר_שרון,0.578290820815939,48,1
טלי_שרון,שלומי_קוריאט,0.6295339211463387,9,5
דב_גליקמן,שלמה_בראבא,0.6982292030710849,37,38
נתי_קלוגר,שמיל_בן_ארי,0.6594149734219068,1,19
אורי_הוכמן,שרון_אלכסנדר,0.6726423434716884,1,32
דנה_פרידר,עופר_שכטר,0.7050252402729497,1,10
עופר_חיון,צחי_גראד,0.7969323819660716,7,10
נעמי_לבוב,שלומי_קוריאט,0.5472592380691141,1,5
דודו_טסה,קובי_פרג',0.6763475874557545,1,2
דב_נבון,יחזקאל_לזרוב,0.9564258931815961,27,19
גדי_יגיל,דב_גליקמן,0.6313567012702813,43,37
אורי_גבריאל,שי_אביבי,0.9468294911653214,34,22
נעמי_לבוב,עוז_זהבי,0.5995416096757726,1,6
אריה_צ'רנר,גל_זייד,0.5776045508077179,1,6
עופר_חיון,עופר_שכטר,0.6729620565506527,7,10
אורי_פפר,טלי_שרון,0.6754830477276645,2,9
לירון_לבו,משה_איבגי,0.9931384166326149,16,32
דניאל_גד,עפר_שכטר,0.5997434288092022,1,4
שלומי_קוריאט,תומר_שרון,0.5573908777376386,5,1
עוז_זהבי,שלומי_קוריאט,0.5972883363281358,6,5
אוולין_הגואל,איציק_כהן_(שחקן),0.6134248676692973,4,1
אלון_אבוטבול,יאנה_יוסף,0.8496886474548871,32,1
עוז_זהבי,עירית_שלג,0.6494884879438373,6,32
טלי_שרון,עלי_סלימאן,0.6088210827341551,9,1
דביר_בנדק,קרן_ברגר,0.669726287457764,15,2
אושרי_כהן,לנה_אטינגר,0.6348506834356232,14,1
אריה_צ'רנר,ריקי_בליך,0.646719296554552,1,12
אורי_הוכמן,נטלי_עטיה,0.5150333346763413,1,18
ליאור_אשכנזי,שרה_אדלר,0.857492701599241,15,9
גילה_אלמגור,מרים_זוהר,0.7787975670852615,52,1
